**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.76000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 75985.39946781  57740.91241743      100000     7.59854e-01     3.10309e-05
151969.57392241 115480.14028129      200000     7.59848e-01     3.19165e-05
227952.02536717 173216.32613239      300000     7.59840e-01     3.07997e-05
303933.30388738 230951.16887053      400000     7.59833e-01     3.13396e-05
379915.26030062 288686.92231135      500000     7.59831e-01     3.14246e-05
455897.76182103 346423.46180025      600000     7.59830e-01     3.14107e-05
531877.55520971 404155.81103833      700000     7.59825e-01     3.12939e-05
607861.91342962 461895.38785343      800000     7.59827e-01     3.15695e-05
683844.37459502 519631.72464608      900000     7.59827e-01     3.13871e-05
759825.54867706 577366.28818343     1000000     7.59826e-01     3.14238e-05
835806.66843537 635100.61739688     1100000     7.59824e-01     3.13158e-05
911788.20530372 692835.80431072     1200000     7.59824e-01     3.14124e-05
987772.51189209 750575.06721223     1300000     7.59825e-01     3.13918e-05
1063756.44214526 808313.78250002     1400000     7.59826e-01     3.13915e-05
1139742.10932178 866055.00734302     1500000     7.59828e-01     3.13046e-05
1215723.23017273 923789.61435134     1600000     7.59827e-01     3.14104e-05
1291705.20884026 981525.38724688     1700000     7.59827e-01     3.14228e-05
1367686.84841167 1039260.80557690     1800000     7.59826e-01     3.15231e-05
1443672.52183697 1097001.88286401     1900000     7.59828e-01     3.13649e-05
1519658.24845151 1154743.37616515     2000000     7.59829e-01     3.13901e-05
