**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.16000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 15996.15038787   2561.51092478      100000     1.59962e-01     2.74265e-05
 31992.55982921   5123.29686061      200000     1.59963e-01     2.83872e-05
 47985.90284229   7684.18799576      300000     1.59953e-01     2.89947e-05
 63979.74237153  10245.58347938      400000     1.59949e-01     3.01622e-05
 79970.30559082  12805.50786531      500000     1.59941e-01     3.00166e-05
 95966.19372343  15367.10827171      600000     1.59944e-01     2.98740e-05
111960.15914764  17928.61470731      700000     1.59943e-01     3.05164e-05
127953.05502732  20489.73129167      800000     1.59941e-01     3.09387e-05
143945.41554595  23050.46498803      900000     1.59939e-01     3.10319e-05
159942.60001949  25612.36100571     1000000     1.59943e-01     3.07257e-05
175935.13086576  28173.12930266     1100000     1.59941e-01     3.08033e-05
191927.93654182  30733.93444887     1200000     1.59940e-01     3.08254e-05
207922.03795331  33295.34573060     1300000     1.59940e-01     3.09915e-05
223915.87704237  35856.43421461     1400000     1.59940e-01     3.09632e-05
239909.04580922  38417.03531253     1500000     1.59939e-01     3.07568e-05
255903.09759270  40978.15373801     1600000     1.59939e-01     3.07229e-05
271899.61992308  43540.30872987     1700000     1.59941e-01     3.08379e-05
287893.37074192  46101.77388148     1800000     1.59941e-01     3.10494e-05
303891.30422039  48664.11415565     1900000     1.59943e-01     3.09950e-05
319888.15101903  51226.31483607     2000000     1.59944e-01     3.10501e-05
