**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.12000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 11996.25361815   1441.75977219      100000     1.19963e-01     2.65876e-05
 23989.23780647   2883.34553843      200000     1.19946e-01     2.96394e-05
 35984.79071786   4325.23377239      300000     1.19949e-01     2.96108e-05
 47977.12130761   5766.32747960      400000     1.19943e-01     2.95426e-05
 59974.45421190   7208.74617394      500000     1.19949e-01     2.97517e-05
 71968.70986674   8650.49634904      600000     1.19948e-01     3.00072e-05
 83961.84593427  10091.82971224      700000     1.19945e-01     2.99780e-05
 95956.27951193  11533.68808911      800000     1.19945e-01     3.02233e-05
107951.74779372  12976.14982821      900000     1.19946e-01     3.08086e-05
119947.04084047  14418.31207576     1000000     1.19947e-01     3.10195e-05
131943.26963131  15860.19887929     1100000     1.19948e-01     3.07375e-05
143940.16579014  17302.57619383     1200000     1.19950e-01     3.07779e-05
155932.13513664  18743.78223991     1300000     1.19948e-01     3.08202e-05
167928.11601304  20186.17164646     1400000     1.19949e-01     3.10144e-05
179921.99516328  21627.74955809     1500000     1.19948e-01     3.09778e-05
191915.46384056  23069.03689669     1600000     1.19947e-01     3.08257e-05
203911.93422313  24511.43104061     1700000     1.19948e-01     3.09190e-05
215904.85966278  25952.78484682     1800000     1.19947e-01     3.08964e-05
227901.49953670  27395.30782351     1900000     1.19948e-01     3.10225e-05
239896.64887838  28837.34684416     2000000     1.19948e-01     3.10729e-05
