**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.21000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 20996.07666007   4411.03515579      100000     2.09961e-01     2.68280e-05
 41990.16804867   8821.67055080      200000     2.09951e-01     2.89974e-05
 62983.41696295  13231.85896561      300000     2.09945e-01     2.94097e-05
 83977.85486043  17642.28342476      400000     2.09945e-01     2.89579e-05
104969.43354588  22051.88166496      500000     2.09939e-01     2.94354e-05
125963.72129991  26462.76843498      600000     2.09940e-01     3.00055e-05
146954.68796639  30872.14391560      700000     2.09935e-01     3.02458e-05
167948.37897808  35282.32794729      800000     2.09935e-01     3.00068e-05
188939.85984392  39692.22046462      900000     2.09933e-01     3.05281e-05
209933.20871050  44102.22769808     1000000     2.09933e-01     3.02756e-05
230924.47508705  48512.06052266     1100000     2.09931e-01     3.07053e-05
251921.47544709  52923.70735276     1200000     2.09935e-01     3.05688e-05
272914.94387951  57334.10614116     1300000     2.09935e-01     3.06340e-05
293907.86117832  61744.85139104     1400000     2.09934e-01     3.11026e-05
314902.95264678  66155.94791058     1500000     2.09935e-01     3.11343e-05
335897.99203400  70567.47053208     1600000     2.09936e-01     3.14421e-05
356892.83870415  74978.16733081     1700000     2.09937e-01     3.12755e-05
377887.10740919  79389.17749060     1800000     2.09937e-01     3.14363e-05
398882.36304807  83800.27825196     1900000     2.09938e-01     3.14097e-05
419876.02020040  88210.75513282     2000000     2.09938e-01     3.14095e-05
