**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.02000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
  1995.24784909     42.55027770      100000     1.99525e-02     2.74014e-05
  3990.60014158     86.01722913      200000     1.99530e-02     3.19639e-05
  5986.07095060    129.12372169      300000     1.99536e-02     3.22675e-05
  7984.09055361    172.16626393      400000     1.99602e-02     3.20050e-05
  9979.68763540    215.39593424      500000     1.99594e-02     3.24152e-05
 11973.82903235    258.76048995      600000     1.99564e-02     3.30103e-05
 13968.03133355    301.77165155      700000     1.99543e-02     3.29271e-05
 15963.88250130    344.97048046      800000     1.99549e-02     3.30169e-05
 17959.87403058    388.10342238      900000     1.99554e-02     3.30074e-05
 19955.60071436    431.09550277     1000000     1.99556e-02     3.28695e-05
 21946.46376192    473.81510148     1100000     1.99513e-02     3.26854e-05
 23937.45872104    516.78313283     1200000     1.99479e-02     3.27346e-05
 25933.35718648    559.39505302     1300000     1.99487e-02     3.23518e-05
 27924.18258907    602.08766763     1400000     1.99458e-02     3.22259e-05
 29918.62870752    644.51852602     1500000     1.99458e-02     3.18460e-05
 31912.38857725    687.24878170     1600000     1.99452e-02     3.17178e-05
 33910.46466887    730.24072740     1700000     1.99473e-02     3.16573e-05
 35906.33184348    773.03949307     1800000     1.99480e-02     3.15452e-05
 37899.90660158    816.24586637     1900000     1.99473e-02     3.17075e-05
 39894.23740574    859.39494404     2000000     1.99471e-02     3.18099e-05
