**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.36000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 35993.75276157  12958.24688635      100000     3.59938e-01     2.74451e-05
 71984.23101273  25914.66174852      200000     3.59921e-01     3.00709e-05
107979.81145254  38874.89454953      300000     3.59933e-01     3.14298e-05
143969.75596981  51830.92056593      400000     3.59924e-01     3.17350e-05
179962.08186411  64788.26788671      500000     3.59924e-01     3.11321e-05
215956.55785377  77747.40299647      600000     3.59928e-01     3.11303e-05
251948.82685607  90705.07297812      700000     3.59927e-01     3.13056e-05
287940.88881662 103662.27577157      800000     3.59926e-01     3.10393e-05
323934.17383173 116620.61595217      900000     3.59927e-01     3.11178e-05
359924.63330456 129576.65633367     1000000     3.59925e-01     3.09147e-05
395918.14034546 142535.07529591     1100000     3.59926e-01     3.09165e-05
431910.16934568 155493.14997887     1200000     3.59925e-01     3.15178e-05
467900.62815657 168449.42287760     1300000     3.59924e-01     3.15100e-05
503893.30495424 181407.25436555     1400000     3.59924e-01     3.14762e-05
539884.07744221 194363.97134484     1500000     3.59923e-01     3.16178e-05
575878.35620369 207322.94075533     1600000     3.59924e-01     3.15719e-05
611871.65996525 220280.81971637     1700000     3.59925e-01     3.13029e-05
647865.24894262 233239.21528444     1800000     3.59925e-01     3.12366e-05
683856.64438519 246196.18162827     1900000     3.59925e-01     3.12562e-05
719846.10591118 259151.67818130     2000000     3.59923e-01     3.12350e-05
