**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.25000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 24995.90843271   6250.61869264      100000     2.49959e-01     2.66431e-05
 49986.90790803  12499.52170913      200000     2.49935e-01     3.03345e-05
 74979.26176259  18749.18017965      300000     2.49931e-01     3.18262e-05
 99973.25192640  24999.19136383      400000     2.49933e-01     3.14090e-05
124969.32901942  31250.12945052      500000     2.49939e-01     3.09261e-05
149963.62880925  37500.32013282      600000     2.49939e-01     3.08392e-05
174955.80019404  43749.55847319      700000     2.49937e-01     3.09366e-05
199948.06030221  49998.93221039      800000     2.49935e-01     3.11234e-05
224944.18747600  56250.41018177      900000     2.49938e-01     3.14589e-05
249939.01121607  62501.23656225     1000000     2.49939e-01     3.17272e-05
274935.40766751  68752.44183141     1100000     2.49941e-01     3.15765e-05
299927.46262739  75001.95053405     1200000     2.49940e-01     3.18457e-05
324921.47950345  81252.19547966     1300000     2.49940e-01     3.18854e-05
349917.69616496  87503.56658821     1400000     2.49941e-01     3.19383e-05
374911.63066143  93754.02578427     1500000     2.49941e-01     3.21368e-05
399902.77868006 100002.81799753     1600000     2.49939e-01     3.21392e-05
424898.44054755 106254.04907439     1700000     2.49940e-01     3.22487e-05
449889.00717786 112502.32229154     1800000     2.49938e-01     3.21177e-05
474881.32339852 118751.16669289     1900000     2.49938e-01     3.18408e-05
499871.24066073 124999.44997643     2000000     2.49936e-01     3.19107e-05
