**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.00000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
    -6.93750967      3.09876865      100000    -6.93751e-05     3.09829e-05
   -13.55428893      6.18643644      200000    -6.77714e-05     3.09276e-05
   -19.62155838      9.13576744      300000    -6.54052e-05     3.04483e-05
   -27.23747920     12.32369719      400000    -6.80937e-05     3.08046e-05
   -36.88375786     15.22851611      500000    -7.37675e-05     3.04516e-05
   -43.26320073     18.39203661      600000    -7.21053e-05     3.06482e-05
   -46.42932567     21.56492707      700000    -6.63276e-05     3.08026e-05
   -52.50164323     24.92907337      800000    -6.56271e-05     3.11570e-05
   -56.32985057     28.25067327      900000    -6.25887e-05     3.13857e-05
   -61.94402574     31.34217879     1000000    -6.19440e-05     3.13383e-05
   -70.04250338     34.17731122     1100000    -6.36750e-05     3.10662e-05
   -77.92629407     37.54943703     1200000    -6.49386e-05     3.12870e-05
   -86.23683456     40.42345797     1300000    -6.63360e-05     3.10906e-05
   -92.26590133     43.63698327     1400000    -6.59042e-05     3.11649e-05
   -98.52448114     46.88518170     1500000    -6.56830e-05     3.12525e-05
  -107.41953214     50.00029055     1600000    -6.71372e-05     3.12457e-05
  -118.48717630     53.63949845     1700000    -6.96983e-05     3.15478e-05
  -126.54935947     57.15505212     1800000    -7.03052e-05     3.17479e-05
  -132.78950734     60.82572842     1900000    -6.98892e-05     3.20087e-05
  -139.68309000     63.91290749     2000000    -6.98415e-05     3.19516e-05
