**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.11000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 10995.80584968   1211.80551337      100000     1.09958e-01     2.72805e-05
 21992.27132687   2424.82362769      200000     1.09961e-01     3.26182e-05
 32982.72682039   3636.32182088      300000     1.09942e-01     3.37364e-05
 43976.22918322   4848.72106089      400000     1.09941e-01     3.48731e-05
 54966.34732179   6060.20867764      500000     1.09933e-01     3.52200e-05
 65962.14066713   7272.64536443      600000     1.09937e-01     3.49534e-05
 76956.12783459   8484.07944374      700000     1.09937e-01     3.38980e-05
 87952.78442428   9696.52635425      800000     1.09941e-01     3.36387e-05
 98948.61229946  10908.81891039      900000     1.09943e-01     3.34681e-05
109942.46639783  12120.08921733     1000000     1.09942e-01     3.27433e-05
120935.46840949  13331.47371443     1100000     1.09941e-01     3.24244e-05
131926.16013026  14542.51648503     1200000     1.09938e-01     3.22973e-05
142917.86111460  15754.10923235     1300000     1.09937e-01     3.24420e-05
153910.29150342  16965.47829538     1400000     1.09936e-01     3.22917e-05
164905.41214159  18177.26879157     1500000     1.09937e-01     3.20481e-05
175897.54556675  19388.61361079     1600000     1.09936e-01     3.19669e-05
186891.60563752  20600.46896950     1700000     1.09936e-01     3.19464e-05
197883.66742277  21811.88493181     1800000     1.09935e-01     3.19281e-05
208878.01938910  23023.71005401     1900000     1.09936e-01     3.18621e-05
219873.06620966  24235.80552427     2000000     1.09937e-01     3.18615e-05
