**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.07000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
  6995.13659808    492.03815352      100000     6.99514e-02     2.71879e-05
 13987.18075817    984.20358094      200000     6.99359e-02     2.99873e-05
 20981.84928470   1476.87165302      300000     6.99395e-02     3.13722e-05
 27976.49097244   1969.19261628      400000     6.99412e-02     3.12062e-05
 34967.79359111   2461.10152923      500000     6.99356e-02     3.12167e-05
 41962.02931929   2953.61521063      600000     6.99367e-02     3.15478e-05
 48957.40015472   3446.41480980      700000     6.99391e-02     3.19660e-05
 55953.10094115   3939.18259713      800000     6.99414e-02     3.21821e-05
 62949.78510664   4432.25122350      900000     6.99442e-02     3.25317e-05
 69942.19212230   4924.20960889     1000000     6.99422e-02     3.22994e-05
 76937.98249898   5416.80625624     1100000     6.99436e-02     3.22593e-05
 83931.25253702   5909.17238426     1200000     6.99427e-02     3.23276e-05
 90922.43757871   6401.34360041     1300000     6.99403e-02     3.24598e-05
 97917.89435093   6893.56877567     1400000     6.99414e-02     3.21848e-05
104915.59276160   7386.15343785     1500000     6.99437e-02     3.19771e-05
111909.80017393   7878.50145303     1600000     6.99436e-02     3.19527e-05
118906.28521966   8371.34951825     1700000     6.99449e-02     3.20379e-05
125898.73304095   8863.84570825     1800000     6.99437e-02     3.22319e-05
132893.06507660   9356.32442338     1900000     6.99437e-02     3.22575e-05
139887.24430932   9848.78077789     2000000     6.99436e-02     3.22801e-05
