**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.08000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
  7995.92741984    642.06401964      100000     7.99593e-02     2.71547e-05
 15989.64688375   1284.30460116      200000     7.99482e-02     2.98028e-05
 23984.33161249   1926.63936682      300000     7.99478e-02     3.04850e-05
 31979.90105241   2569.08733010      400000     7.99498e-02     3.07554e-05
 39972.77846166   3210.84130250      500000     7.99456e-02     3.03905e-05
 47970.73692842   3853.37196477      600000     7.99512e-02     3.00877e-05
 55966.04229922   4495.61556536      700000     7.99515e-02     3.00674e-05
 63963.69305079   5138.34453497      800000     7.99546e-02     3.01900e-05
 71960.15733351   5781.02242193      900000     7.99557e-02     3.04394e-05
 79955.00013668   6423.73115800     1000000     7.99550e-02     3.09291e-05
 87951.34389863   7066.43191077     1100000     7.99558e-02     3.11043e-05
 95945.90797428   7708.95163384     1200000     7.99549e-02     3.13366e-05
103940.29283123   8351.17134660     1300000     7.99541e-02     3.13244e-05
111936.64671568   8993.86352279     1400000     7.99547e-02     3.14266e-05
119932.67829448   9636.51281001     1500000     7.99551e-02     3.15208e-05
127927.39895675  10278.52899149     1600000     7.99546e-02     3.13387e-05
135919.73120855  10920.36660684     1700000     7.99528e-02     3.12975e-05
143911.74145605  11562.21437215     1800000     7.99510e-02     3.12952e-05
151903.18566548  12203.33423961     1900000     7.99490e-02     3.09577e-05
159895.69905109  12845.40266298     2000000     7.99478e-02     3.10427e-05
