****************************
RPMD potential of mean force
****************************

Temperature                             = 300 K
-0.09738695  0.0000185488
-0.09736095  0.0000183935
-0.09733495  0.0000182357
-0.09730895  0.0000180756
-0.09728295  0.0000179131
-0.09725695  0.0000177483
-0.09723094  0.0000175812
-0.09720494  0.0000174120
-0.09717894  0.0000172406
-0.09715294  0.0000170671
-0.09712694  0.0000168916
-0.09710094  0.0000167141
-0.09707494  0.0000165346
-0.09704894  0.0000163532
-0.09702294  0.0000161701
-0.09699694  0.0000159851
-0.09697094  0.0000157984
-0.09694494  0.0000156101
-0.09691894  0.0000154201
-0.09689294  0.0000152286
-0.09686694  0.0000150356
-0.09684094  0.0000148411
-0.09681494  0.0000146453
-0.09678894  0.0000144481
-0.09676294  0.0000142497
-0.09673693  0.0000140500
-0.09671093  0.0000138492
-0.09668493  0.0000136474
-0.09665893  0.0000134445
-0.09663293  0.0000132406
-0.09660693  0.0000130359
-0.09658093  0.0000128303
-0.09655493  0.0000126240
-0.09652893  0.0000124169
-0.09650293  0.0000122092
-0.09647693  0.0000120009
-0.09645093  0.0000117921
-0.09642493  0.0000115829
-0.09639893  0.0000113732
-0.09637293  0.0000111633
-0.09634693  0.0000109531
-0.09632093  0.0000107427
-0.09629493  0.0000105322
-0.09626893  0.0000103217
-0.09624292  0.0000101112
-0.09621692  0.0000099008
-0.09619092  0.0000096906
-0.09616492  0.0000094806
-0.09613892  0.0000092709
-0.09611292  0.0000090615
-0.09608692  0.0000088527
-0.09606092  0.0000086443
-0.09603492  0.0000084366
-0.09600892  0.0000082295
-0.09598292  0.0000080232
-0.09595692  0.0000078176
-0.09593092  0.0000076130
-0.09590492  0.0000074094
-0.09587892  0.0000072067
-0.09585292  0.0000070052
-0.09582692  0.0000068049
-0.09580092  0.0000066059
-0.09577492  0.0000064082
-0.09574891  0.0000062119
-0.09572291  0.0000060172
-0.09569691  0.0000058240
-0.09567091  0.0000056325
-0.09564491  0.0000054427
-0.09561891  0.0000052547
-0.09559291  0.0000050686
-0.09556691  0.0000048845
-0.09554091  0.0000047025
-0.09551491  0.0000045226
-0.09548891  0.0000043449
-0.09546291  0.0000041695
-0.09543691  0.0000039965
-0.09541091  0.0000038260
-0.09538491  0.0000036580
-0.09535891  0.0000034927
-0.09533291  0.0000033300
-0.09530691  0.0000031702
-0.09528091  0.0000030132
-0.09525491  0.0000028592
-0.09522890  0.0000027082
-0.09520290  0.0000025604
-0.09517690  0.0000024158
-0.09515090  0.0000022745
-0.09512490  0.0000021365
-0.09509890  0.0000020021
-0.09507290  0.0000018712
-0.09504690  0.0000017439
-0.09502090  0.0000016204
-0.09499490  0.0000015007
-0.09496890  0.0000013849
-0.09494290  0.0000012731
-0.09491690  0.0000011653
-0.09489090  0.0000010617
-0.09486490  0.0000009624
-0.09483890  0.0000008674
-0.09481290  0.0000007768
-0.09478690  0.0000006908
-0.09476090  0.0000006093
-0.09473489  0.0000005326
-0.09470889  0.0000004606
-0.09468289  0.0000003935
-0.09465689  0.0000003313
-0.09463089  0.0000002742
-0.09460489  0.0000002222
-0.09457889  0.0000001754
-0.09455289  0.0000001340
-0.09452689  0.0000000979
-0.09450089  0.0000000674
-0.09447489  0.0000000424
-0.09444889  0.0000000231
-0.09442289  0.0000000095
-0.09439689  0.0000000018
-0.09437089  0.0000000000
-0.09434489  0.0000000042
-0.09431889  0.0000000146
-0.09429289  0.0000000312
-0.09426689  0.0000000540
-0.09424088  0.0000000833
-0.09421488  0.0000001190
-0.09418888  0.0000001613
-0.09416288  0.0000002102
-0.09413688  0.0000002659
-0.09411088  0.0000003284
-0.09408488  0.0000003979
-0.09405888  0.0000004743
-0.09403288  0.0000005579
-0.09400688  0.0000006486
-0.09398088  0.0000007466
-0.09395488  0.0000008520
-0.09392888  0.0000009649
-0.09390288  0.0000010853
-0.09387688  0.0000012133
-0.09385088  0.0000013491
-0.09382488  0.0000014926
-0.09379888  0.0000016441
-0.09377288  0.0000018036
-0.09374687  0.0000019711
-0.09372087  0.0000021469
-0.09369487  0.0000023308
-0.09366887  0.0000025232
-0.09364287  0.0000027239
-0.09361687  0.0000029332
-0.09359087  0.0000031511
-0.09356487  0.0000033776
-0.09353887  0.0000036130
-0.09351287  0.0000038572
-0.09348687  0.0000041104
-0.09346087  0.0000043726
-0.09343487  0.0000046439
-0.09340887  0.0000049245
-0.09338287  0.0000052144
-0.09335687  0.0000055136
-0.09333087  0.0000058223
-0.09330487  0.0000061406
-0.09327887  0.0000064685
-0.09325287  0.0000068061
-0.09322686  0.0000071536
-0.09320086  0.0000075109
-0.09317486  0.0000078782
-0.09314886  0.0000082555
-0.09312286  0.0000086430
-0.09309686  0.0000090408
-0.09307086  0.0000094488
-0.09304486  0.0000098672
-0.09301886  0.0000102961
-0.09299286  0.0000107355
-0.09296686  0.0000111856
-0.09294086  0.0000116463
-0.09291486  0.0000121179
-0.09288886  0.0000126003
-0.09286286  0.0000130937
-0.09283686  0.0000135981
-0.09281086  0.0000141136
-0.09278486  0.0000146403
-0.09275886  0.0000151783
-0.09273285  0.0000157276
-0.09270685  0.0000162883
-0.09268085  0.0000168605
-0.09265485  0.0000174442
-0.09262885  0.0000180396
-0.09260285  0.0000186468
-0.09257685  0.0000192657
-0.09255085  0.0000198965
-0.09252485  0.0000205392
-0.09249885  0.0000211939
-0.09247285  0.0000218607
-0.09244685  0.0000225397
-0.09242085  0.0000232309
-0.09239485  0.0000239344
-0.09236885  0.0000246503
-0.09234285  0.0000253786
-0.09231685  0.0000261194
-0.09229085  0.0000268728
-0.09226485  0.0000276388
-0.09223884  0.0000284175
-0.09221284  0.0000292090
-0.09218684  0.0000300134
-0.09216084  0.0000308307
-0.09213484  0.0000316609
-0.09210884  0.0000325042
-0.09208284  0.0000333606
-0.09205684  0.0000342302
-0.09203084  0.0000351130
-0.09200484  0.0000360091
-0.09197884  0.0000369186
-0.09195284  0.0000378415
-0.09192684  0.0000387778
-0.09190084  0.0000397277
-0.09187484  0.0000406912
-0.09184884  0.0000416683
-0.09182284  0.0000426592
-0.09179684  0.0000436638
-0.09177084  0.0000446823
-0.09174483  0.0000457146
-0.09171883  0.0000467609
-0.09169283  0.0000478212
-0.09166683  0.0000488955
-0.09164083  0.0000499840
-0.09161483  0.0000510865
-0.09158883  0.0000522033
-0.09156283  0.0000533344
-0.09153683  0.0000544797
-0.09151083  0.0000556394
-0.09148483  0.0000568136
-0.09145883  0.0000580021
-0.09143283  0.0000592052
-0.09140683  0.0000604228
-0.09138083  0.0000616551
-0.09135483  0.0000629019
-0.09132883  0.0000641635
-0.09130283  0.0000654398
-0.09127683  0.0000667308
-0.09125083  0.0000680367
-0.09122482  0.0000693574
-0.09119882  0.0000706930
-0.09117282  0.0000720436
-0.09114682  0.0000734091
-0.09112082  0.0000747897
-0.09109482  0.0000761853
-0.09106882  0.0000775960
-0.09104282  0.0000790218
-0.09101682  0.0000804628
-0.09099082  0.0000819190
-0.09096482  0.0000833904
-0.09093882  0.0000848771
-0.09091282  0.0000863791
-0.09088682  0.0000878964
-0.09086082  0.0000894291
-0.09083482  0.0000909772
-0.09080882  0.0000925407
-0.09078282  0.0000941196
-0.09075682  0.0000957140
-0.09073081  0.0000973239
-0.09070481  0.0000989493
-0.09067881  0.0001005903
-0.09065281  0.0001022469
-0.09062681  0.0001039190
-0.09060081  0.0001056068
-0.09057481  0.0001073102
-0.09054881  0.0001090293
-0.09052281  0.0001107640
-0.09049681  0.0001125145
-0.09047081  0.0001142806
-0.09044481  0.0001160625
-0.09041881  0.0001178602
-0.09039281  0.0001196736
-0.09036681  0.0001215028
-0.09034081  0.0001233478
-0.09031481  0.0001252087
-0.09028881  0.0001270853
-0.09026281  0.0001289778
-0.09023680  0.0001308861
-0.09021080  0.0001328102
-0.09018480  0.0001347502
-0.09015880  0.0001367061
-0.09013280  0.0001386778
-0.09010680  0.0001406655
-0.09008080  0.0001426690
-0.09005480  0.0001446884
-0.09002880  0.0001467236
-0.09000280  0.0001487748
-0.08997680  0.0001508419
-0.08995080  0.0001529248
-0.08992480  0.0001550236
-0.08989880  0.0001571384
-0.08987280  0.0001592690
-0.08984680  0.0001614155
-0.08982080  0.0001635779
-0.08979480  0.0001657561
-0.08976880  0.0001679502
-0.08974279  0.0001701602
-0.08971679  0.0001723860
-0.08969079  0.0001746277
-0.08966479  0.0001768852
-0.08963879  0.0001791585
-0.08961279  0.0001814476
-0.08958679  0.0001837525
-0.08956079  0.0001860732
-0.08953479  0.0001884096
-0.08950879  0.0001907618
-0.08948279  0.0001931298
-0.08945679  0.0001955134
-0.08943079  0.0001979128
-0.08940479  0.0002003278
-0.08937879  0.0002027585
-0.08935279  0.0002052048
-0.08932679  0.0002076667
-0.08930079  0.0002101442
-0.08927479  0.0002126373
-0.08924878  0.0002151459
-0.08922278  0.0002176700
-0.08919678  0.0002202096
-0.08917078  0.0002227647
-0.08914478  0.0002253352
-0.08911878  0.0002279211
-0.08909278  0.0002305224
-0.08906678  0.0002331389
-0.08904078  0.0002357708
-0.08901478  0.0002384180
-0.08898878  0.0002410804
-0.08896278  0.0002437580
-0.08893678  0.0002464507
-0.08891078  0.0002491586
-0.08888478  0.0002518815
-0.08885878  0.0002546195
-0.08883278  0.0002573725
-0.08880678  0.0002601405
-0.08878078  0.0002629233
-0.08875478  0.0002657211
-0.08872877  0.0002685337
-0.08870277  0.0002713610
-0.08867677  0.0002742031
-0.08865077  0.0002770599
-0.08862477  0.0002799313
-0.08859877  0.0002828173
-0.08857277  0.0002857179
-0.08854677  0.0002886330
-0.08852077  0.0002915624
-0.08849477  0.0002945063
-0.08846877  0.0002974645
-0.08844277  0.0003004370
-0.08841677  0.0003034237
-0.08839077  0.0003064246
-0.08836477  0.0003094396
-0.08833877  0.0003124686
-0.08831277  0.0003155116
-0.08828677  0.0003185685
-0.08826077  0.0003216393
-0.08823476  0.0003247239
-0.08820876  0.0003278223
-0.08818276  0.0003309343
-0.08815676  0.0003340599
-0.08813076  0.0003371991
-0.08810476  0.0003403517
-0.08807876  0.0003435178
-0.08805276  0.0003466972
-0.08802676  0.0003498899
-0.08800076  0.0003530957
-0.08797476  0.0003563147
-0.08794876  0.0003595468
-0.08792276  0.0003627918
-0.08789676  0.0003660498
-0.08787076  0.0003693205
-0.08784476  0.0003726041
-0.08781876  0.0003759003
-0.08779276  0.0003792091
-0.08776676  0.0003825304
-0.08774075  0.0003858642
-0.08771475  0.0003892104
-0.08768875  0.0003925688
-0.08766275  0.0003959394
-0.08763675  0.0003993222
-0.08761075  0.0004027169
-0.08758475  0.0004061236
-0.08755875  0.0004095422
-0.08753275  0.0004129726
-0.08750675  0.0004164146
-0.08748075  0.0004198683
-0.08745475  0.0004233335
-0.08742875  0.0004268101
-0.08740275  0.0004302980
-0.08737675  0.0004337971
-0.08735075  0.0004373074
-0.08732475  0.0004408288
-0.08729875  0.0004443611
-0.08727275  0.0004479043
-0.08724674  0.0004514583
-0.08722074  0.0004550230
-0.08719474  0.0004585982
-0.08716874  0.0004621839
-0.08714274  0.0004657800
-0.08711674  0.0004693864
-0.08709074  0.0004730029
-0.08706474  0.0004766296
-0.08703874  0.0004802662
-0.08701274  0.0004839127
-0.08698674  0.0004875690
-0.08696074  0.0004912350
-0.08693474  0.0004949105
-0.08690874  0.0004985956
-0.08688274  0.0005022899
-0.08685674  0.0005059936
-0.08683074  0.0005097063
-0.08680474  0.0005134282
-0.08677874  0.0005171589
-0.08675274  0.0005208985
-0.08672673  0.0005246468
-0.08670073  0.0005284037
-0.08667473  0.0005321691
-0.08664873  0.0005359429
-0.08662273  0.0005397249
-0.08659673  0.0005435151
-0.08657073  0.0005473134
-0.08654473  0.0005511195
-0.08651873  0.0005549335
-0.08649273  0.0005587552
-0.08646673  0.0005625845
-0.08644073  0.0005664213
-0.08641473  0.0005702654
-0.08638873  0.0005741168
-0.08636273  0.0005779752
-0.08633673  0.0005818407
-0.08631073  0.0005857131
-0.08628473  0.0005895922
-0.08625873  0.0005934780
-0.08623272  0.0005973703
-0.08620672  0.0006012690
-0.08618072  0.0006051739
-0.08615472  0.0006090851
-0.08612872  0.0006130023
-0.08610272  0.0006169254
-0.08607672  0.0006208543
-0.08605072  0.0006247888
-0.08602472  0.0006287289
-0.08599872  0.0006326745
-0.08597272  0.0006366253
-0.08594672  0.0006405813
-0.08592072  0.0006445424
-0.08589472  0.0006485084
-0.08586872  0.0006524791
-0.08584272  0.0006564546
-0.08581672  0.0006604346
-0.08579072  0.0006644190
-0.08576472  0.0006684077
-0.08573871  0.0006724006
-0.08571271  0.0006763975
-0.08568671  0.0006803983
-0.08566071  0.0006844029
-0.08563471  0.0006884111
-0.08560871  0.0006924229
-0.08558271  0.0006964381
-0.08555671  0.0007004565
-0.08553071  0.0007044781
-0.08550471  0.0007085026
-0.08547871  0.0007125301
-0.08545271  0.0007165603
-0.08542671  0.0007205931
-0.08540071  0.0007246283
-0.08537471  0.0007286660
-0.08534871  0.0007327058
-0.08532271  0.0007367478
-0.08529671  0.0007407917
-0.08527071  0.0007448375
-0.08524470  0.0007488849
-0.08521870  0.0007529339
-0.08519270  0.0007569844
-0.08516670  0.0007610362
-0.08514070  0.0007650891
-0.08511470  0.0007691431
-0.08508870  0.0007731980
-0.08506270  0.0007772537
-0.08503670  0.0007813100
-0.08501070  0.0007853669
-0.08498470  0.0007894241
-0.08495870  0.0007934816
-0.08493270  0.0007975392
-0.08490670  0.0008015968
-0.08488070  0.0008056543
-0.08485470  0.0008097115
-0.08482870  0.0008137683
-0.08480270  0.0008178246
-0.08477670  0.0008218802
-0.08475070  0.0008259350
-0.08472469  0.0008299889
-0.08469869  0.0008340418
-0.08467269  0.0008380935
-0.08464669  0.0008421438
-0.08462069  0.0008461927
-0.08459469  0.0008502401
-0.08456869  0.0008542857
-0.08454269  0.0008583295
-0.08451669  0.0008623714
-0.08449069  0.0008664111
-0.08446469  0.0008704487
-0.08443869  0.0008744839
-0.08441269  0.0008785166
-0.08438669  0.0008825467
-0.08436069  0.0008865742
-0.08433469  0.0008905987
-0.08430869  0.0008946203
-0.08428269  0.0008986387
-0.08425669  0.0009026539
-0.08423068  0.0009066658
-0.08420468  0.0009106742
-0.08417868  0.0009146789
-0.08415268  0.0009186799
-0.08412668  0.0009226771
-0.08410068  0.0009266703
-0.08407468  0.0009306594
-0.08404868  0.0009346442
-0.08402268  0.0009386247
-0.08399668  0.0009426007
-0.08397068  0.0009465721
-0.08394468  0.0009505388
-0.08391868  0.0009545006
-0.08389268  0.0009584575
-0.08386668  0.0009624093
-0.08384068  0.0009663560
-0.08381468  0.0009702972
-0.08378868  0.0009742331
-0.08376268  0.0009781634
-0.08373667  0.0009820880
-0.08371067  0.0009860068
-0.08368467  0.0009899197
-0.08365867  0.0009938266
-0.08363267  0.0009977274
-0.08360667  0.0010016219
-0.08358067  0.0010055100
-0.08355467  0.0010093917
-0.08352867  0.0010132668
-0.08350267  0.0010171351
-0.08347667  0.0010209967
-0.08345067  0.0010248513
-0.08342467  0.0010286988
-0.08339867  0.0010325393
-0.08337267  0.0010363724
-0.08334667  0.0010401982
-0.08332067  0.0010440165
-0.08329467  0.0010478273
-0.08326867  0.0010516303
-0.08324266  0.0010554256
-0.08321666  0.0010592129
-0.08319066  0.0010629923
-0.08316466  0.0010667635
-0.08313866  0.0010705266
-0.08311266  0.0010742813
-0.08308666  0.0010780276
-0.08306066  0.0010817654
-0.08303466  0.0010854945
-0.08300866  0.0010892150
-0.08298266  0.0010929266
-0.08295666  0.0010966294
-0.08293066  0.0011003231
-0.08290466  0.0011040077
-0.08287866  0.0011076831
-0.08285266  0.0011113492
-0.08282666  0.0011150060
-0.08280066  0.0011186532
-0.08277466  0.0011222909
-0.08274865  0.0011259189
-0.08272265  0.0011295371
-0.08269665  0.0011331455
-0.08267065  0.0011367440
-0.08264465  0.0011403324
-0.08261865  0.0011439107
-0.08259265  0.0011474789
-0.08256665  0.0011510367
-0.08254065  0.0011545842
-0.08251465  0.0011581212
-0.08248865  0.0011616477
-0.08246265  0.0011651635
-0.08243665  0.0011686687
-0.08241065  0.0011721631
-0.08238465  0.0011756466
-0.08235865  0.0011791191
-0.08233265  0.0011825807
-0.08230665  0.0011860311
-0.08228065  0.0011894704
-0.08225465  0.0011928985
-0.08222864  0.0011963152
-0.08220264  0.0011997205
-0.08217664  0.0012031143
-0.08215064  0.0012064966
-0.08212464  0.0012098673
-0.08209864  0.0012132264
-0.08207264  0.0012165736
-0.08204664  0.0012199091
-0.08202064  0.0012232326
-0.08199464  0.0012265442
-0.08196864  0.0012298438
-0.08194264  0.0012331313
-0.08191664  0.0012364067
-0.08189064  0.0012396698
-0.08186464  0.0012429207
-0.08183864  0.0012461593
-0.08181264  0.0012493854
-0.08178664  0.0012525991
-0.08176064  0.0012558003
-0.08173463  0.0012589889
-0.08170863  0.0012621650
-0.08168263  0.0012653283
-0.08165663  0.0012684789
-0.08163063  0.0012716167
-0.08160463  0.0012747417
-0.08157863  0.0012778538
-0.08155263  0.0012809529
-0.08152663  0.0012840391
-0.08150063  0.0012871122
-0.08147463  0.0012901722
-0.08144863  0.0012932191
-0.08142263  0.0012962529
-0.08139663  0.0012992734
-0.08137063  0.0013022806
-0.08134463  0.0013052745
-0.08131863  0.0013082551
-0.08129263  0.0013112223
-0.08126663  0.0013141760
-0.08124062  0.0013171163
-0.08121462  0.0013200430
-0.08118862  0.0013229562
-0.08116262  0.0013258559
-0.08113662  0.0013287419
-0.08111062  0.0013316142
-0.08108462  0.0013344729
-0.08105862  0.0013373178
-0.08103262  0.0013401490
-0.08100662  0.0013429663
-0.08098062  0.0013457699
-0.08095462  0.0013485596
-0.08092862  0.0013513355
-0.08090262  0.0013540974
-0.08087662  0.0013568455
-0.08085062  0.0013595795
-0.08082462  0.0013622996
-0.08079862  0.0013650057
-0.08077262  0.0013676978
-0.08074661  0.0013703758
-0.08072061  0.0013730398
-0.08069461  0.0013756896
-0.08066861  0.0013783254
-0.08064261  0.0013809470
-0.08061661  0.0013835545
-0.08059061  0.0013861479
-0.08056461  0.0013887270
-0.08053861  0.0013912920
-0.08051261  0.0013938428
-0.08048661  0.0013963794
-0.08046061  0.0013989017
-0.08043461  0.0014014098
-0.08040861  0.0014039037
-0.08038261  0.0014063833
-0.08035661  0.0014088486
-0.08033061  0.0014112997
-0.08030461  0.0014137365
-0.08027861  0.0014161589
-0.08025261  0.0014185672
-0.08022660  0.0014209611
-0.08020060  0.0014233407
-0.08017460  0.0014257060
-0.08014860  0.0014280570
-0.08012260  0.0014303937
-0.08009660  0.0014327161
-0.08007060  0.0014350242
-0.08004460  0.0014373180
-0.08001860  0.0014395975
-0.07999260  0.0014418627
-0.07996660  0.0014441136
-0.07994060  0.0014463503
-0.07991460  0.0014485726
-0.07988860  0.0014507807
-0.07986260  0.0014529745
-0.07983660  0.0014551540
-0.07981060  0.0014573193
-0.07978460  0.0014594704
-0.07975860  0.0014616072
-0.07973259  0.0014637299
-0.07970659  0.0014658383
-0.07968059  0.0014679325
-0.07965459  0.0014700125
-0.07962859  0.0014720784
-0.07960259  0.0014741302
-0.07957659  0.0014761677
-0.07955059  0.0014781912
-0.07952459  0.0014802006
-0.07949859  0.0014821959
-0.07947259  0.0014841771
-0.07944659  0.0014861443
-0.07942059  0.0014880975
-0.07939459  0.0014900367
-0.07936859  0.0014919619
-0.07934259  0.0014938731
-0.07931659  0.0014957704
-0.07929059  0.0014976538
-0.07926459  0.0014995233
-0.07923858  0.0015013789
-0.07921258  0.0015032207
-0.07918658  0.0015050487
-0.07916058  0.0015068629
-0.07913458  0.0015086634
-0.07910858  0.0015104501
-0.07908258  0.0015122232
-0.07905658  0.0015139826
-0.07903058  0.0015157283
-0.07900458  0.0015174604
-0.07897858  0.0015191790
-0.07895258  0.0015208840
-0.07892658  0.0015225756
-0.07890058  0.0015242536
-0.07887458  0.0015259182
-0.07884858  0.0015275694
-0.07882258  0.0015292073
-0.07879658  0.0015308318
-0.07877058  0.0015324430
-0.07874457  0.0015340410
-0.07871857  0.0015356257
-0.07869257  0.0015371973
-0.07866657  0.0015387557
-0.07864057  0.0015403010
-0.07861457  0.0015418332
-0.07858857  0.0015433524
-0.07856257  0.0015448587
-0.07853657  0.0015463520
-0.07851057  0.0015478324
-0.07848457  0.0015493000
-0.07845857  0.0015507547
-0.07843257  0.0015521967
-0.07840657  0.0015536260
-0.07838057  0.0015550425
-0.07835457  0.0015564465
-0.07832857  0.0015578378
-0.07830257  0.0015592167
-0.07827657  0.0015605830
-0.07825057  0.0015619369
-0.07822456  0.0015632784
-0.07819856  0.0015646075
-0.07817256  0.0015659243
-0.07814656  0.0015672289
-0.07812056  0.0015685213
-0.07809456  0.0015698016
-0.07806856  0.0015710697
-0.07804256  0.0015723258
-0.07801656  0.0015735698
-0.07799056  0.0015748020
-0.07796456  0.0015760222
-0.07793856  0.0015772306
-0.07791256  0.0015784272
-0.07788656  0.0015796121
-0.07786056  0.0015807853
-0.07783456  0.0015819468
-0.07780856  0.0015830968
-0.07778256  0.0015842353
-0.07775656  0.0015853623
-0.07773055  0.0015864779
-0.07770455  0.0015875821
-0.07767855  0.0015886750
-0.07765255  0.0015897567
-0.07762655  0.0015908273
-0.07760055  0.0015918866
-0.07757455  0.0015929350
-0.07754855  0.0015939723
-0.07752255  0.0015949986
-0.07749655  0.0015960141
-0.07747055  0.0015970187
-0.07744455  0.0015980125
-0.07741855  0.0015989957
-0.07739255  0.0015999681
-0.07736655  0.0016009300
-0.07734055  0.0016018813
-0.07731455  0.0016028222
-0.07728855  0.0016037526
-0.07726255  0.0016046727
-0.07723654  0.0016055824
-0.07721054  0.0016064820
-0.07718454  0.0016073713
-0.07715854  0.0016082506
-0.07713254  0.0016091198
-0.07710654  0.0016099790
-0.07708054  0.0016108282
-0.07705454  0.0016116677
-0.07702854  0.0016124973
-0.07700254  0.0016133171
-0.07697654  0.0016141273
-0.07695054  0.0016149279
-0.07692454  0.0016157189
-0.07689854  0.0016165004
-0.07687254  0.0016172725
-0.07684654  0.0016180352
-0.07682054  0.0016187887
-0.07679454  0.0016195329
-0.07676854  0.0016202679
-0.07674253  0.0016209938
-0.07671653  0.0016217107
-0.07669053  0.0016224186
-0.07666453  0.0016231176
-0.07663853  0.0016238077
-0.07661253  0.0016244891
-0.07658653  0.0016251617
-0.07656053  0.0016258256
-0.07653453  0.0016264810
-0.07650853  0.0016271278
-0.07648253  0.0016277662
-0.07645653  0.0016283961
-0.07643053  0.0016290178
-0.07640453  0.0016296311
-0.07637853  0.0016302363
-0.07635253  0.0016308333
-0.07632653  0.0016314222
-0.07630053  0.0016320031
-0.07627453  0.0016325761
-0.07624852  0.0016331411
-0.07622252  0.0016336984
-0.07619652  0.0016342479
-0.07617052  0.0016347897
-0.07614452  0.0016353238
-0.07611852  0.0016358504
-0.07609252  0.0016363695
-0.07606652  0.0016368812
-0.07604052  0.0016373855
-0.07601452  0.0016378825
-0.07598852  0.0016383723
-0.07596252  0.0016388548
-0.07593652  0.0016393303
-0.07591052  0.0016397987
-0.07588452  0.0016402601
-0.07585852  0.0016407145
-0.07583252  0.0016411622
-0.07580652  0.0016416030
-0.07578052  0.0016420371
-0.07575452  0.0016424645
-0.07572851  0.0016428853
-0.07570251  0.0016432995
-0.07567651  0.0016437073
-0.07565051  0.0016441086
-0.07562451  0.0016445036
-0.07559851  0.0016448922
-0.07557251  0.0016452747
-0.07554651  0.0016456509
-0.07552051  0.0016460211
-0.07549451  0.0016463851
-0.07546851  0.0016467432
-0.07544251  0.0016470954
-0.07541651  0.0016474417
-0.07539051  0.0016477821
-0.07536451  0.0016481169
-0.07533851  0.0016484459
-0.07531251  0.0016487693
-0.07528651  0.0016490871
-0.07526051  0.0016493994
-0.07523450  0.0016497063
-0.07520850  0.0016500077
-0.07518250  0.0016503038
-0.07515650  0.0016505947
-0.07513050  0.0016508803
-0.07510450  0.0016511607
-0.07507850  0.0016514361
-0.07505250  0.0016517064
-0.07502650  0.0016519717
-0.07500050  0.0016522320
-0.07497450  0.0016524875
-0.07494850  0.0016527382
-0.07492250  0.0016529841
-0.07489650  0.0016532252
-0.07487050  0.0016534618
-0.07484450  0.0016536937
-0.07481850  0.0016539210
-0.07479250  0.0016541439
-0.07476650  0.0016543623
-0.07474049  0.0016545764
-0.07471449  0.0016547861
-0.07468849  0.0016549915
-0.07466249  0.0016551927
-0.07463649  0.0016553897
-0.07461049  0.0016555826
-0.07458449  0.0016557715
-0.07455849  0.0016559563
-0.07453249  0.0016561371
-0.07450649  0.0016563140
-0.07448049  0.0016564870
-0.07445449  0.0016566562
-0.07442849  0.0016568217
-0.07440249  0.0016569834
-0.07437649  0.0016571414
-0.07435049  0.0016572958
-0.07432449  0.0016574467
-0.07429849  0.0016575940
