**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.05000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
  4995.30835066    252.24969810      100000     4.99531e-02     2.71864e-05
  9988.89135002    504.42984772      200000     4.99445e-02     2.77005e-05
 14980.05740546    756.35368710      300000     4.99335e-02     2.78221e-05
 19972.96805922   1008.51737604      400000     4.99324e-02     2.80469e-05
 24967.89524706   1260.89576415      500000     4.99358e-02     2.82084e-05
 29961.29206166   1513.68408178      600000     4.99355e-02     2.92540e-05
 34954.58534610   1765.82352970      700000     4.99351e-02     2.90886e-05
 39947.37899412   2018.44220762      800000     4.99342e-02     2.96261e-05
 44942.60999242   2270.81416728      900000     4.99362e-02     2.94995e-05
 49936.22780533   2523.35755109     1000000     4.99362e-02     2.97307e-05
 54932.30740937   2775.85014186     1100000     4.99385e-02     2.96502e-05
 59924.71241354   3027.77447515     1200000     4.99373e-02     2.94154e-05
 64924.99776727   3280.62092908     1300000     4.99423e-02     2.93206e-05
 69921.95956861   3533.40229386     1400000     4.99443e-02     2.94300e-05
 74917.41306707   3786.52097368     1500000     4.99449e-02     2.98501e-05
 79910.37665419   4038.99302403     1600000     4.99440e-02     2.99690e-05
 84907.06661240   4291.79607285     1700000     4.99453e-02     3.00496e-05
 89903.39464997   4544.33201211     1800000     4.99463e-02     2.99930e-05
 94894.04069682   4796.97434092     1900000     4.99442e-02     3.02970e-05
 99891.54976930   5049.86895420     2000000     4.99458e-02     3.03540e-05
