**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.28000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 27995.60481519   7840.26418195      100000     2.79956e-01     2.72529e-05
 55988.61978931  15679.65850116      200000     2.79943e-01     3.01539e-05
 83981.04064753  23518.36347652      300000     2.79937e-01     2.99317e-05
111976.52080074  31358.73393743      400000     2.79941e-01     2.97023e-05
139972.16428669  39199.39010412      500000     2.79944e-01     2.99531e-05
167969.74325687  47041.29830701      600000     2.79950e-01     3.04009e-05
195965.35086772  54882.13005925      700000     2.79951e-01     3.07598e-05
223958.26963480  62721.12253719      800000     2.79948e-01     3.06117e-05
251954.25145320  70562.02362819      900000     2.79949e-01     3.07117e-05
279948.97409734  78402.13603665     1000000     2.79949e-01     3.07079e-05
307940.45682842  86240.67283769     1100000     2.79946e-01     3.09216e-05
335933.04877812  94079.42577419     1200000     2.79944e-01     3.07623e-05
363928.57732222 101920.25825914     1300000     2.79945e-01     3.09623e-05
391921.39584527 109759.35265036     1400000     2.79944e-01     3.09761e-05
419912.95535541 117597.73938816     1500000     2.79942e-01     3.09862e-05
447910.60998403 125439.64579701     1600000     2.79944e-01     3.10620e-05
475906.20244469 133280.17126556     1700000     2.79945e-01     3.09957e-05
503898.74986770 141119.31353291     1800000     2.79944e-01     3.11155e-05
531890.04088301 148957.58952188     1900000     2.79942e-01     3.11370e-05
559882.99986275 156796.60459185     2000000     2.79941e-01     3.10589e-05
