**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.33000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 32995.20090660  10889.75221895      100000     3.29952e-01     2.91939e-05
 65986.61340981  21776.88008314      200000     3.29933e-01     2.85717e-05
 98980.55224236  32666.23140901      300000     3.29935e-01     3.02189e-05
131977.11717593  43557.41247284      400000     3.29943e-01     3.12846e-05
164971.66746597  54446.66011817      500000     3.29943e-01     3.07160e-05
197963.75383362  65334.34427809      600000     3.29940e-01     3.04409e-05
230955.45171123  76222.29304854      700000     3.29936e-01     3.09887e-05
263950.76594519  87112.31696206      800000     3.29938e-01     3.10105e-05
296943.06124184  98000.42027828      900000     3.29937e-01     3.11070e-05
329937.82714933 108890.10571740     1000000     3.29938e-01     3.11359e-05
362930.85607281 119778.49776785     1100000     3.29937e-01     3.10258e-05
395924.90139994 130667.64248781     1200000     3.29937e-01     3.10024e-05
428916.73400399 141555.61197413     1300000     3.29936e-01     3.12017e-05
461912.22511520 152446.34283649     1400000     3.29937e-01     3.16205e-05
494907.36671772 163336.31229064     1500000     3.29938e-01     3.16297e-05
527900.68084019 174225.52668272     1600000     3.29938e-01     3.19195e-05
560893.22354567 185113.69088204     1700000     3.29937e-01     3.18568e-05
593886.28050540 196002.52747615     1800000     3.29937e-01     3.19862e-05
626879.42712124 206891.46333474     1900000     3.29937e-01     3.21230e-05
659874.58614278 217781.63487593     2000000     3.29937e-01     3.22001e-05
