**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.06000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
  5995.08319464    362.03129788      100000     5.99508e-02     2.62107e-05
 11992.07149547    724.42959246      200000     5.99604e-02     2.69035e-05
 17985.51372308   1086.91710236      300000     5.99517e-02     2.88492e-05
 23979.85762284   1449.49122831      400000     5.99496e-02     2.97682e-05
 29972.38995802   1811.65765405      500000     5.99448e-02     2.99387e-05
 35969.67456118   2174.66911818      600000     5.99495e-02     3.05111e-05
 41964.48900731   2536.88401392      700000     5.99493e-02     3.02050e-05
 47959.61184077   2899.04223810      800000     5.99495e-02     2.98585e-05
 53953.82362286   3261.22620831      900000     5.99487e-02     2.97389e-05
 59950.18263982   3624.02949341     1000000     5.99502e-02     3.00051e-05
 65942.80170727   3986.58314546     1100000     5.99480e-02     3.04036e-05
 71938.79823534   4348.90821644     1200000     5.99490e-02     3.02078e-05
 77937.54092320   4712.00483276     1300000     5.99520e-02     3.03822e-05
 83930.46503866   5075.15183020     1400000     5.99503e-02     3.10661e-05
 89925.68203273   5437.86476508     1500000     5.99505e-02     3.11862e-05
 95922.86779276   5800.83132164     1600000     5.99518e-02     3.13022e-05
101919.30915652   6163.39097425     1700000     5.99525e-02     3.12177e-05
107913.10584923   6525.82651677     1800000     5.99517e-02     3.12498e-05
113907.21796440   6888.24347461     1900000     5.99512e-02     3.12488e-05
119899.98843598   7250.70813804     2000000     5.99500e-02     3.13523e-05
