**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.24000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 23995.20862885   5760.47656665      100000     2.39952e-01     2.77620e-05
 47988.69200636  11520.50485490      200000     2.39943e-01     2.96603e-05
 71985.36589915  17281.91499390      300000     2.39951e-01     2.97955e-05
 95980.71309101  23042.92218176      400000     2.39952e-01     3.04474e-05
119979.27889427  28805.72343809      500000     2.39959e-01     3.13374e-05
143973.98626955  34566.03406505      600000     2.39957e-01     3.08659e-05
167969.72815214  40326.86699561      700000     2.39957e-01     3.05660e-05
191963.47455018  46087.16011054      800000     2.39954e-01     3.08633e-05
215956.56908883  51846.66690680      900000     2.39952e-01     3.05685e-05
239951.39858914  57607.01570624     1000000     2.39951e-01     3.03420e-05
263946.52679223  63368.09043839     1100000     2.39951e-01     3.06863e-05
287939.77654541  69127.78410751     1200000     2.39950e-01     3.05736e-05
311932.73979274  74887.49379379     1300000     2.39948e-01     3.05963e-05
335929.21195483  80649.00094500     1400000     2.39949e-01     3.06969e-05
359920.86013177  86408.37908236     1500000     2.39947e-01     3.09080e-05
383913.42255852  92168.23898980     1600000     2.39946e-01     3.11197e-05
407906.38411842  97927.63691879     1700000     2.39945e-01     3.09220e-05
431901.02923940 103688.15689510     1800000     2.39945e-01     3.09208e-05
455897.70237415 109449.75948976     1900000     2.39946e-01     3.09773e-05
479891.11877018 115209.75827487     2000000     2.39946e-01     3.10077e-05
