**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.37000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 36994.48985070  13688.78732103      100000     3.69945e-01     2.86453e-05
 73987.99973755  27377.61595595      200000     3.69940e-01     3.24772e-05
110980.31321816  41064.98249673      300000     3.69934e-01     3.18314e-05
147972.37872809  54752.07894883      400000     3.69931e-01     3.12920e-05
184964.47001936  68439.26393772      500000     3.69929e-01     3.11072e-05
221957.05393262  82127.45604646      600000     3.69928e-01     3.20551e-05
258950.62669458  95815.75889914      700000     3.69929e-01     3.18452e-05
295945.09164172 109504.73379891      800000     3.69931e-01     3.17028e-05
332936.40727139 123191.49149876      900000     3.69929e-01     3.17174e-05
369931.06526129 136880.79021857     1000000     3.69931e-01     3.17972e-05
406923.28049217 150567.86016521     1100000     3.69930e-01     3.14793e-05
443916.39520517 164256.02636628     1200000     3.69930e-01     3.15734e-05
480911.08157024 177945.61030486     1300000     3.69932e-01     3.18491e-05
517907.16486360 191636.17183234     1400000     3.69934e-01     3.20455e-05
554903.09531397 205326.57404126     1500000     3.69935e-01     3.21848e-05
591895.11992924 219013.49802364     1600000     3.69934e-01     3.19390e-05
628889.87577153 232702.95549000     1700000     3.69935e-01     3.20237e-05
665880.49252055 246389.01644627     1800000     3.69934e-01     3.19134e-05
702871.10354460 260075.29921291     1900000     3.69932e-01     3.19336e-05
739862.24873290 273762.00391804     2000000     3.69931e-01     3.19652e-05
